neweroptions,120,116,0013F15F,0,1,1,4294967295,0,0
optlang,140,188,00150D76,0,1,1,4294967295,0,0
optfilter,205,64,001597BC,0,1,1,4294967295,0,0
optstats,273,100,00096F93,0,1,1,4294967295,0,0
optegg,273,64,0005A395,0,1,1,4294967295,0,0
optkey,205,28,002C1DF9,0,1,1,4294967295,0,0
optjoy,239,28,002D500C,0,1,1,4294967295,0,0
mmicon,384,16,003D6A73,0,1,1,4294967295,0,1
mmicon,16,16,00194811,0,1,1,4294967295,0,1
optvol,272,188,00300D80,0,1,1,4294967295,0,0
optvideo,272,148,003288BC,0,1,1,4294967295,0,0
optmusic,239,64,003213FC,0,1,1,4294967295,0,0
optpause,273,28,0013D830,0,1,1,4294967295,0,0
optdetail,205,100,0037590B,0,1,1,4294967295,0,0
optassets,239,100,00327015,0,1,1,4294967295,0,0
optdiscord,307,28,002B31B4,0,1,1,4294967295,0,0
optmusvol,272,168,00000DA7,0,1,1,4294967295,0,0
optaft,307,64,003DDA3D,0,1,1,4294967295,0,0
optreplay,307,100,0C6D609E,0,1,1,4294967295,0,0
mmlegends,200,216,00059DFD,0,1,1,4294967295,0,0
runespawner,48,8,0038E2FB,0,1,1,4294967295,0,0
segafadein,64,8,002DF3A8,0,1,1,4294967295,0,0
